months,eqpdays,change_mou,mou_mean,totmrc_mean,hnd_price,avgqty,crclscod,uniqsubs,avgrev,cluster,churn
23,675.0,-8.25,241.25,69.99,59.98999023,83.53,,3,51.42,0,0
28,827.0,-6.0,331.0,42.49,29.98999023,99.54,,2,62.41,0,1
15,449.0,-16.75,27.75,39.99,149.9899902,31.07,,1,31.07,0,0
17,512.0,-509.0,509.0,16.7925,149.9899902,265.06,,1,72.82,2,0
10,297.0,16.25,233.75,69.99,29.98999023,103.67,,2,65.59,0,0
26,761.0,-290.25,1008.25,44.99,59.98999023,147.48,,1,36.16,0,1
23,634.0,72.0,886.0,44.99,79.98999023,296.87,,1,44.67,0,1
15,372.0,-176.25,720.25,10.0,9.989997864,194.15,,3,19.17,0,0
7,210.0,-231.0,492.0,10.0,79.98999023,317.0,,2,26.47,0,1
27,117.0,-343.5,854.5,58.5375,149.9899902,330.96,,1,82.3,2,0
13,384.0,-80.0,307.0,49.99,149.9899902,126.33,,1,44.11,0,0
23,699.0,9.5,10.5,5.0,29.98999023,36.77,,1,19.73,0,1
35,532.0,63.75,1471.25,94.99,29.98999023,296.53,,2,81.33,2,1
10,317.0,172.0,723.0,39.99,0.0,114.33,,1,44.28,0,0
22,636.0,-61.0,80.0,49.97,39.98999023,71.46,,1,66.08,0,1
7,198.0,71.5,403.5,69.99,129.9899902,182.4,,1,51.86,0,0
11,315.0,-1.5,1999.5,96.4425,129.9899902,581.5,,1,160.9,2,0
17,173.0,-65.25,209.25,29.99,129.9899902,77.31,,1,35.29,0,0
12,205.0,-44.25,453.25,68.155,99.98999023,339.7,,3,68.84,0,0
7,220.0,-84.0,157.0,59.99,99.98999023,100.2,,3,54.23,0,1
16,499.0,0.0,0.0,0.0,79.98999023,138.25,,5,59.39,0,1
35,1063.0,-142.0,416.0,44.99,29.98999023,189.64,,2,55.68,0,1
23,66.0,95.0,253.0,32.49,129.9899902,122.8,,2,34.35,0,1
13,371.0,-664.5,919.5,57.5225,129.9899902,580.17,,2,99.09,2,1
11,285.0,-22.5,173.5,54.99,129.9899902,86.8,,1,45.73,0,1
26,796.0,-2.5,69.5,29.99,59.98999023,35.76,,1,35.12,0,1
32,950.0,-3.25,49.25,16.99,29.98999023,23.43,,1,27.18,0,0
23,710.0,33.25,262.75,30.0,59.98999023,130.32,,2,32.84,0,1
31,356.0,0.0,0.0,0.0,149.9899902,100.89,,4,56.93,0,1
9,262.0,-24.5,203.5,10.0,199.9899902,61.88,,2,10.68,0,0
11,190.0,116.75,495.25,44.99,99.98999023,126.6,,1,36.67,0,1
12,341.0,36.25,948.75,37.4925,149.9899902,226.0,,2,46.83,0,1
11,331.0,68.25,503.75,84.99,149.9899902,119.1,,1,95.49,0,0
6,182.0,-158.25,483.25,51.185,99.98999023,79.2,,1,76.17,0,0
6,195.0,792.25,1568.75,84.385,199.9899902,527.0,,2,88.32,0,1
8,205.0,-189.75,221.75,10.0,59.98999023,100.83,,2,75.33,0,1
19,573.0,122.5,368.5,29.99,29.98999023,52.0,,1,29.48,0,0
14,136.0,-91.25,387.25,39.99,149.9899902,115.08,,2,37.16,0,1
6,186.0,-140.0,293.0,44.99,29.98999023,116.8,,1,76.76,0,0
17,491.0,22.5,200.5,29.99,149.9899902,31.69,,1,39.03,0,1
37,310.0,68.25,153.75,30.0,199.9899902,48.0,,1,36.55,0,0
28,829.0,14.0,53.0,59.99,29.98999023,83.27,,2,54.71,0,1
