mou_mean,months,change_mou,eqpdays,adjqty,totmrc_mean,rev_mean,ovrmou_mean,drop_blk_mean,change_rev,cluster,churn
241.25,23,-8.25,675.0,1253,69.99,61.0275,0.0,1.666666667,0.5925,0,0
331.0,28,-6.0,827.0,2588,42.49,88.285,163.25,8.0,-7.065,0,1
27.75,15,-16.75,449.0,435,39.99,29.99,0.0,0.666666667,0.0,0,0
509.0,17,-509.0,512.0,4241,16.7925,69.725,131.75,8.0,-69.725,2,0
233.75,10,16.25,297.0,933,69.99,60.2375,0.0,1.666666667,-0.2475,0,0
1008.25,26,-290.25,761.0,3687,44.99,36.4775,4.25,8.666666667,-0.7875,0,1
886.0,23,72.0,634.0,4453,44.99,68.765,96.5,20.66666667,23.975,0,1
720.25,15,-176.25,372.0,2524,10.0,33.365,85.25,17.66666667,-16.065,0,0
492.0,7,-231.0,210.0,1902,10.0,18.33,30.0,12.0,-8.33,0,1
854.5,27,-343.5,117.0,8274,58.5375,40.785,0.0,5.333333333,13.445,0,0
307.0,13,-80.0,384.0,1516,49.99,46.13,14.25,9.0,-4.16,0,0
10.5,23,9.5,699.0,478,5.0,15.545,10.5,0.666666667,9.455,0,1
1471.25,35,63.75,532.0,10082,94.99,87.96,0.0,29.0,1.98,0,1
723.0,10,172.0,317.0,1029,39.99,46.84,13.0,8.0,11.35,0,0
80.0,22,-61.0,636.0,929,49.97,50.56,0.0,1.333333333,0.0,0,1
403.5,7,71.5,198.0,912,69.99,55.7375,0.0,7.666666667,9.7125,0,0
1999.5,11,-1.5,315.0,5815,96.4425,224.14,247.0,76.33333333,-79.41,2,0
209.25,17,-65.25,173.0,1237,29.99,34.355,0.0,2.333333333,-4.065,0,0
453.25,12,-44.25,205.0,3397,68.155,62.9675,0.0,12.0,1.0225,0,0
157.0,7,-84.0,220.0,501,59.99,50.485,0.0,3.333333333,-0.495,0,1
0.0,16,0.0,499.0,1106,0.0,0.0,0.0,15.0,0.0,0,1
416.0,35,-142.0,1063.0,2655,44.99,67.54666667,77.33333333,15.0,-29.58666667,0,1
253.0,23,95.0,66.0,1842,32.49,30.485,0.0,3.0,3.985,0,1
919.5,13,-664.5,371.0,6962,57.5225,88.6775,97.25,20.0,-32.5575,2,1
173.5,11,-22.5,285.0,868,54.99,44.99,0.0,25.0,0.0,0,1
69.5,26,-2.5,796.0,894,29.99,31.445,0.0,6.333333333,0.495,0,1
49.25,32,-3.25,950.0,703,16.99,25.9975,16.75,0.666666667,0.9525,0,0
262.75,23,33.25,710.0,2867,30.0,33.6075,0.0,5.0,-3.6075,0,1
0.0,31,0.0,356.0,1917,0.0,0.0,0.0,4.333333333,0.0,0,1
203.5,9,-24.5,262.0,495,10.0,10.7,0.0,3.0,0.08,0,0
495.25,11,116.75,190.0,1266,44.99,38.2225,0.25,37.66666667,7.3875,0,1
948.75,12,36.25,341.0,2486,37.4925,47.0825,41.0,0.0,-46.0925,0,1
503.75,11,68.25,331.0,1191,84.99,92.9975,0.0,2.666666667,1.5925,0,0
483.25,6,-158.25,182.0,396,51.185,45.2975,0.0,20.0,-5.0875,0,0
1568.75,6,792.25,195.0,2635,84.385,129.645,153.25,38.66666667,86.105,3,1
221.75,8,-189.75,205.0,605,10.0,39.3,73.25,2.0,-29.3,0,1
368.5,19,122.5,573.0,884,29.99,48.32,44.5,3.333333333,34.07,0,0
387.25,14,-91.25,136.0,1381,39.99,47.4025,49.75,4.333333333,-17.4125,0,1
293.0,6,-140.0,186.0,584,44.99,60.7125,23.5,1.0,-25.7225,0,0
200.5,17,22.5,491.0,507,29.99,44.31,39.5,1.666666667,0.73,0,1
153.75,37,68.25,310.0,1200,30.0,30.2475,0.0,3.333333333,-0.2475,0,0
53.0,28,14.0,829.0,2165,59.99,60.665,2.25,2.666666667,-0.675,0,1
461.25,12,-410.25,342.0,3834,44.9925,56.2125,30.5,19.0,-56.2125,2,0
1221.75,14,-147.75,121.0,3252,59.99,135.35,193.75,19.33333333,-32.51,2,0
1784.0,21,-482.0,642.0,3039,62.7275,35.88,4.0,38.66666667,14.11,0,1
205.0,24,-72.0,244.0,2333,49.99,40.95,0.0,4.333333333,-0.32,0,1
581.0,33,-51.0,987.0,4204,34.98,67.065,89.25,10.0,-25.035,0,1
489.5,14,-174.5,13.0,5904,39.99,39.8825,16.25,27.0,-5.5025,0,1
43.0,20,37.0,614.0,443,30.0,30.0,0.0,0.666666667,0.0,0,1
576.5,7,224.5,195.0,694,89.99,88.72,0.0,1.333333333,-0.77,0,0
355.5,38,24.5,1143.0,2497,29.99,53.175,76.0,2.333333333,-4.215,0,1
186.0,12,-26.0,348.0,1039,29.99,40.5125,23.75,3.333333333,-10.5225,0,1
352.25,11,13.75,238.0,1548,44.99,35.995,0.0,9.0,-1.005,0,1
1701.25,29,33.75,513.0,12438,84.99,82.69,19.25,10.33333333,23.1,0,0
566.75,12,-247.75,338.0,1238,44.99,64.3,83.25,6.666666667,-29.31,0,1
211.25,19,23.75,586.0,1405,29.99,30.335,0.0,4.333333333,-0.345,0,0
1433.25,21,-516.25,609.0,4738,52.49,116.61,161.25,38.33333333,-51.75,2,0
216.0,22,105.0,663.0,1435,44.99,38.8325,0.0,2.666666667,-0.5925,0,1
361.75,13,238.25,409.0,2412,29.99,48.1,40.25,11.33333333,52.38,0,1
195.25,12,134.75,364.0,726,10.0,12.345,0.0,2.0,1.615,0,0
362.25,23,-249.25,699.0,4890,44.3725,49.235,18.75,6.333333333,-13.245,0,1
163.25,22,-15.25,659.0,1549,50.07,40.4875,0.0,2.333333333,-0.4975,0,0
0.0,28,0.0,852.0,4667,5.0,5.045,0.0,0.0,-0.045,0,1
0.0,26,0.0,779.0,1238,0.0,0.0,0.0,0.0,0.0,0,1
148.75,11,-55.75,325.0,668,29.99,31.74,2.75,4.333333333,-0.67,0,0
1296.75,36,-51.75,214.0,18842,75.0,79.155,0.25,36.0,0.645,0,1
314.75,26,92.25,778.0,4459,39.99,30.115,1.75,3.333333333,0.375,0,0
38.75,35,-23.75,896.0,1771,16.99,20.61,6.5,0.666666667,-4.47,0,0
568.5,18,16.5,527.0,1616,25.075,125.2575,285.25,4.333333333,-125.2575,2,1
0.0,26,0.0,644.0,858,10.0,13.25,0.0,0.0,0.0,0,1
546.5,26,-22.5,243.0,4624,59.99,50.98,0.0,8.0,-0.99,0,0
636.5,12,-138.5,78.0,1593,54.905,48.005,4.0,15.33333333,-4.015,0,0
106.25,20,-14.25,615.0,792,39.265,43.3225,1.0,2.666666667,-8.8825,0,0
592.75,11,-338.75,290.0,2002,39.99,89.1625,154.25,29.33333333,-55.8725,2,0
134.5,13,-68.5,392.0,502,59.99,52.125,0.0,1.666666667,-1.495,0,0
778.0,37,130.0,64.0,11500,40.0,63.1475,78.0,34.66666667,37.7125,0,1
1391.75,10,-253.75,126.0,3237,84.99,94.375,74.75,10.33333333,-19.385,0,0
110.25,11,18.75,320.0,377,39.99,32.315,0.0,1.333333333,-2.325,0,1
801.0,9,88.0,262.0,1568,44.99,61.975,31.5,14.66666667,55.225,0,0
698.25,13,-245.25,96.0,3162,25.86,32.605,39.75,17.66666667,-37.895,0,1
35.5,19,15.5,419.0,468,32.49,32.78,0.0,2.666666667,-0.29,0,0
213.25,12,-172.25,361.0,599,27.6675,34.655,38.5,0.333333333,-43.985,0,0
186.75,11,-88.75,320.0,1041,69.99,60.53,0.0,4.666666667,-0.54,0,1
1643.5,7,229.5,220.0,3289,89.99,95.27,70.5,27.66666667,26.19,0,0
204.5,19,-204.5,552.0,1847,18.3325,27.3775,25.0,0.666666667,-27.3775,0,0
346.25,9,201.75,284.0,627,10.0,42.7225,76.0,12.0,27.6075,0,0
55.25,20,24.75,598.0,1124,29.99,30.395,0.25,8.0,-0.255,0,1
691.5,8,-11.5,4.0,815,43.78,46.1275,29.0,5.666666667,3.6225,0,0
90.5,24,-0.5,724.0,998,29.99,30.525,1.5,2.0,-0.535,0,1
762.0,33,161.0,337.0,6579,70.0,100.2225,86.25,28.66666667,10.5375,0,0
1996.75,9,-12.75,288.0,3157,106.2375,135.4325,85.5,0.0,-56.0625,2,0
