feature,psi
crclscod,0.0027783609431781342
lor,0.001058583117696702
ethnic,0.000805662747394807
hnd_price,0.0007069377391139334
area,0.0006840703723033261
iwylis_vce_Mean,0.0005469208054702568
change_mou,0.0005309999427005119
uniqsubs,0.0004846593964262528
adjqty,0.0004083898800350384
models,0.00040330034239370306
owylis_vce_Mean,0.0003446533843637189
da_Mean,0.00033098172044151183
totmrc_Mean,0.0003295532417277782
mou_rvce_Mean,0.0003291638310134484
unan_vce_Mean,0.00031959088345090783
actvsubs,0.0003156660105934604
change_rev,0.00030996578594804226
rev_Mean,0.0002994131778084562
totrev,0.00029580933960559935
mou_Mean,0.0002905232088036608
months,0.00028533540365403284
ovrmou_Mean,0.00026695163448360517
mou_opkv_Mean,0.00024440529179933383
mouiwylisv_Mean,0.00023302338300699134
avg6rev,0.00022939766261082954
income,0.0002265764247632084
drop_blk_Mean,0.00021223527252064528
custcare_Mean,0.0002016104962964674
dualband,0.00016759764914148637
mouowylisv_Mean,0.00016369231738711648
eqpdays,0.00015534552362781207
adults,0.00015482995539419468
mou_peav_Mean,0.00015426080335803556
prizm_social_one,0.00015135085831104956
plcd_dat_Mean,0.00015038856893103878
ccrndmou_Mean,0.00014101456064633843
inonemin_Mean,0.00011209304528591796
roam_Mean,0.00010245415520522932
callwait_Mean,9.566727694376099e-05
new_cell,7.927864368338349e-05
marital,5.4545074464852694e-05
threeway_Mean,4.638101030216495e-05
refurb_new,4.5261462807381976e-05
hnd_webcap,1.0076084106143367e-05
asl_flag,9.398127643525116e-06
creditcd,3.89682481033653e-06
datovr_Mean,1.6870915464508055e-07
mou_pead_Mean,0.0
mou_opkd_Mean,0.0
