feature,psi
crclscod,0.0027783609431781342
callfwdv_Mean,0.00189197336954701
lor,0.001058583117696702
phones,0.0009485026781054478
ethnic,0.000805662747394807
dwllsize,0.0007514364175823574
hnd_price,0.0007069377391139334
area,0.0006840703723033261
iwylis_vce_Mean,0.0005469208054702568
change_mou,0.0005309999427005119
avg6qty,0.0004914241572334471
uniqsubs,0.0004846593964262528
vceovr_Mean,0.0004648018925049233
adjqty,0.0004083898800350384
models,0.00040330034239370306
peak_vce_Mean,0.000374675769509319
totcalls,0.0003629197966133425
avg3mou,0.00035961649919385877
totmou,0.0003500021647968758
adjmou,0.0003499702807403102
drop_vce_Mean,0.0003481691793248072
owylis_vce_Mean,0.0003446533843637189
ovrrev_Mean,0.00034251968390456043
da_Mean,0.00033098172044151183
totmrc_Mean,0.0003295532417277782
mou_rvce_Mean,0.0003291638310134484
unan_vce_Mean,0.00031959088345090783
actvsubs,0.0003156660105934604
change_rev,0.00030996578594804226
rev_Mean,0.0002994131778084562
totrev,0.00029580933960559935
avg3qty,0.0002957697642360416
mou_Mean,0.0002905232088036608
months,0.00028533540365403284
avgqty,0.00027636449205422974
avg6mou,0.0002684077733709044
ovrmou_Mean,0.00026695163448360517
complete_Mean,0.0002487451793799286
HHstatin,0.0002462332232649807
mou_opkv_Mean,0.00024440529179933383
mouiwylisv_Mean,0.00023302338300699134
avgrev,0.00023005955847159017
avg6rev,0.00022939766261082954
income,0.0002265764247632084
comp_vce_Mean,0.00022168890540161343
drop_blk_Mean,0.00021223527252064528
avg3rev,0.0002114990754966582
avgmou,0.0002110221577653954
custcare_Mean,0.0002016104962964674
opk_vce_Mean,0.00019379417442448067
dwlltype,0.00018970356182082166
numbcars,0.0001709851707817825
dualband,0.00016759764914148637
cc_mou_Mean,0.00016748772602067936
mouowylisv_Mean,0.00016369231738711648
eqpdays,0.00015534552362781207
adults,0.00015482995539419468
mou_peav_Mean,0.00015426080335803556
prizm_social_one,0.00015135085831104956
plcd_dat_Mean,0.00015038856893103878
attempt_Mean,0.00014584840238558418
ccrndmou_Mean,0.00014101456064633843
adjrev,0.00012057216723230131
plcd_vce_Mean,0.00011800932575006635
inonemin_Mean,0.00011209304528591796
blck_vce_Mean,0.00010312189669275487
roam_Mean,0.00010245415520522932
truck,0.00010104045655196679
comp_dat_Mean,9.956152125575284e-05
callwait_Mean,9.566727694376099e-05
recv_vce_Mean,9.22130987874838e-05
mou_cdat_Mean,8.343821672386125e-05
new_cell,7.927864368338349e-05
mou_cvce_Mean,7.880541846657368e-05
ownrent,5.770628345885123e-05
marital,5.4545074464852694e-05
threeway_Mean,4.638101030216495e-05
refurb_new,4.5261462807381976e-05
kid11_15,3.46107421554212e-05
rv,2.7484735172574032e-05
infobase,1.5622881271728648e-05
forgntvl,1.3399579396272449e-05
hnd_webcap,1.0076084106143367e-05
kid16_17,9.591347735137873e-06
asl_flag,9.398127643525116e-06
kid0_2,7.376432383061968e-06
creditcd,3.89682481033653e-06
kid3_5,9.925445168927564e-07
datovr_Mean,1.6870915464508055e-07
kid6_10,1.04775333738202e-09
peak_dat_Mean,0.0
blck_dat_Mean,0.0
drop_dat_Mean,0.0
unan_dat_Mean,0.0
recv_sms_Mean,0.0
opk_dat_Mean,0.0
mou_pead_Mean,0.0
mou_opkd_Mean,0.0
